anio,fecha,ambito,turistas,temporal_fecha,..anio_fecha
2019,2019-01-31,Internacionales,235229,2019-01,2019
2019,2019-02-28,Nacionales,754516,2019-02,2019
2019,2019-02-28,Internacionales,241910,2019-02,2019
2019,2019-03-31,Nacionales,910811,2019-03,2019
2019,2019-03-31,Internacionales,303310,2019-03,2019
2019,2019-04-30,Nacionales,870938,2019-04,2019
2019,2019-04-30,Internacionales,285079,2019-04,2019
2019,2019-05-31,Nacionales,787955,2019-05,2019
2019,2019-05-31,Internacionales,292558,2019-05,2019
2019,2019-06-30,Nacionales,885136,2019-06,2019
2019,2019-06-30,Internacionales,301110,2019-06,2019
2019,2019-07-31,Nacionales,863319,2019-07,2019
2019,2019-07-31,Internacionales,325846,2019-07,2019
2019,2019-08-31,Nacionales,785181,2019-08,2019
2019,2019-08-31,Internacionales,354639,2019-08,2019
2019,2019-09-30,Nacionales,801352,2019-09,2019
2019,2019-09-30,Internacionales,360409,2019-09,2019
2019,2019-10-31,Nacionales,1009324,2019-10,2019
2019,2019-10-31,Internacionales,400600,2019-10,2019
2019,2019-11-30,Nacionales,972499,2019-11,2019
2019,2019-11-30,Internacionales,384491,2019-11,2019
2019,2019-12-31,Nacionales,779240,2019-12,2019
2019,2019-12-31,Internacionales,269863,2019-12,2019
2020,2020-01-31,Nacionales,748155,2020-01,2020
2020,2020-01-31,Internacionales,271824,2020-01,2020
2020,2020-02-29,Nacionales,804597,2020-02,2020
2020,2020-02-29,Internacionales,285161,2020-02,2020
2020,2020-03-31,Nacionales,413581,2020-03,2020
2020,2020-03-31,Internacionales,130518,2020-03,2020
2020,2020-04-30,Nacionales,44061,2020-04,2020
2020,2020-04-30,Internacionales,9306,2020-04,2020
2020,2020-05-31,Nacionales,17651,2020-05,2020
2020,2020-05-31,Internacionales,6627,2020-05,2020
2020,2020-06-30,Nacionales,44164,2020-06,2020
2020,2020-06-30,Internacionales,11771,2020-06,2020
2020,2020-07-31,Nacionales,131140,2020-07,2020
2020,2020-07-31,Internacionales,25157,2020-07,2020
2020,2020-08-31,Nacionales,202374,2020-08,2020
2020,2020-08-31,Internacionales,44466,2020-08,2020
2020,2020-09-30,Nacionales,223842,2020-09,2020
2020,2020-09-30,Internacionales,57101,2020-09,2020
2020,2020-10-31,Nacionales,274952,2020-10,2020
2020,2020-10-31,Internacionales,84904,2020-10,2020
2020,2020-11-30,Nacionales,301186,2020-11,2020
2020,2020-11-30,Internacionales,110907,2020-11,2020
2020,2020-12-31,Nacionales,251708,2020-12,2020
2020,2020-12-31,Internacionales,79025,2020-12,2020
2021,2021-01-31,Nacionales,220474,2021-01,2021
2021,2021-01-31,Internacionales,59529,2021-01,2021
2021,2021-02-28,Nacionales,234119,2021-02,2021
2021,2021-02-28,Internacionales,58963,2021-02,2021
2021,2021-03-31,Nacionales,264521,2021-03,2021
2021,2021-03-31,Internacionales,97845,2021-03,2021
2021,2021-04-30,Nacionales,331579,2021-04,2021
2021,2021-04-30,Internacionales,117824,2021-04,2021
2021,2021-05-31,Nacionales,411030,2021-05,2021
2021,2021-05-31,Internacionales,150750,2021-05,2021
2021,2021-06-30,Nacionales,442736,2021-06,2021
2021,2021-06-30,Internacionales,176001,2021-06,2021
