NOMBRE,CALLE,COLONIA,ALCALDÍA,CP,CATEGORÍA,LATITUD,LONGITUD
Hotel Premier,Atenas 72,Juárez,Cuauhtémoc,6600,3 Estrellas,19.431243,-99.156643
Hotel Princesa,Calzada de Tlalpan 952,Nativitas,Benito Juárez,3500,3 Estrellas,19.384101,-99.139166
Hotel Príncipe ,Viaducto Miguel Alemán 113,Escandón I sección,Miguel Hidalgo,11800,3 Estrellas,19.40288,-99.161867
Hotel Puebla,Puebla 36,Roma Norte,Cuauhtémoc,6700,3 Estrellas,19.423697,-99.155782
Hotel Puente,Avenida Cuatro 18,Valentín Gómez Farías,Venustiano Carranza,15010,3 Estrellas,19.419595,-99.098346
Hotel Rex,Obrero Mundial 937,Álamos,Benito Juárez,3400,3 Estrellas,19.402813,-99.137342
Hotel Roble,República de Uruguay 109,Centro (Área 6),Cuauhtémoc,6060,3 Estrellas,19.429902,-99.132764
Hotel Roosevelt,Avenida Insurgentes Sur 287,Hipódromo,Cuauhtémoc,6100,3 Estrellas,19.41563,-99.165761
Hotel Rossel Plaza,Avenida Francisco del Paso y Troncoso 45,Granjas México,Iztacalco,8400,3 Estrellas,19.399517,-99.11333
Hotel Rubí,Carretera federal a Cuernavaca 5813,Chimalcoyotl,Tlalpan,14630,3 Estrellas,19.262425,-99.174264
Hotel San Antonio,Segundo callejón de 5 de Mayo 29,Centro (Área 1),Cuauhtémoc,6000,3 Estrellas,19.433734,-99.135528
Hotel San Diego,Luis Moya 98,Centro (Área 7),Cuauhtémoc,6070,3 Estrellas,19.428973,-99.145642
Hotel San Lorenzo,Enna 14,San Lorenzo Xicotencatl,Iztapalapa,9130,3 Estrellas,19.380699,-99.026672
Hotel San Lucas,Plaza de San Lucas 6,Centro (Área 9),Cuauhtémoc,6090,3 Estrellas,19.424462,-99.13251
Hotel San Martín,Eje central Lázaro Cárdenas 84,Guerrero,Cuauhtémoc,6300,3 Estrellas,19.442569,-99.139802
Hotel Selina México Downtown,Avenida José María Izazaga 8,Centro (Área 8),Cuauhtémoc,6080,3 Estrellas,19.427019,-99.141528
Hotel Seoul,Lecumberri 79,Morelos,Venustiano Carranza,15270,3 Estrellas,19.437037,-99.12136
Hotel Suido,Avenida Insurgentes Norte 751,San Simón Tolnahuac,Cuauhtémoc,6920,3 Estrellas,19.462357,-99.14308
Hotel Suites Embassy,Puebla 115,Roma Norte,Cuauhtémoc,6700,3 Estrellas,19.423013,-99.160077
