NOMBRE,CALLE,COLONIA,ALCALDÍA,CP,CATEGORÍA,LATITUD,LONGITUD
Auto Hotel Super Star,Norte 140,Agrícola Pantitlán,Iztacalco,8100,3 Estrellas,19.410918,-99.068073
Aztic Hotel y Suites Ejecutivas,Camino al Ajusco 124 penthouse,Jardines en la Montaña,Tlalpan,14210,3 Estrellas,19.299949,-99.208975
Block Suites,Avenida Chapultepec 346,Roma Norte,Cuauhtémoc,6700,3 Estrellas,19.42285,-99.165142
Casa En Reforma,Amado Nervo 73,Santa María la Ribera,Cuauhtémoc,6400,3 Estrellas,19.428298,-99.169898
Centra2 Hotel,Ernesto Pugibet 48,Centro (Área 7),Cuauhtémoc,6070,3 Estrellas,19.429845,-99.146413
Domingo Santo Hotel Boutique,Calle Republica de Cuba 96,Centro Histórico,Cuauhtémoc,6000,3 Estrellas,19.43693,-99.134165
Hotel & Suites Ferri,Avenida Sara 4605,Guadalupe Tepeyac,Gustavo A. Madero,7840,3 Estrellas,19.468272,-99.116822
Hotel & Villas Cabanna,Aquiles Serdán 386,Guadalupita,Xochimilco,16740,3 Estrellas,19.258155,-99.024157
Hotel & Villas Juan Diego,Avenida Insurgentes Norte 1917,Tepeyac Insurgentes,Gustavo A. Madero,7020,3 Estrellas,19.489702,-99.120586
Hotel Aeropuerto,Boulevard Puerto Aéreo 380,Moctezuma segunda sección,Venustiano Carranza,15530,3 Estrellas,19.432855,-99.089587
Hotel Alpes,Calzada de Tlalpan 1512,Miravalle,Benito Juárez,3580,3 Estrellas,19.362754,-99.142404
Hotel Amazonas,Calzada San Antonio Abad 161,Obrera,Cuauhtémoc,6800,3 Estrellas,19.414419,-99.135206
Hotel Ámbar,San Jerónimo 105,Centro (Área 9),Cuauhtémoc,6090,3 Estrellas,19.4264,-99.132671
Hotel Amigo Zócalo,Moneda 8,Centro (Área 3),Cuauhtémoc,6020,3 Estrellas,19.433654,-99.130701
Hotel Antenas,Avenida Constitución de la República 182,Providencia,Gustavo A. Madero,7550,3 Estrellas,19.481194,-99.068829
Hotel Antillas,Belisario Domínguez 34,Centro (Área 2),Cuauhtémoc,6010,3 Estrellas,19.438241,-99.137184
Hotel Apatlaco,Avenida Río Churubusco 1520,Infonavit Iztacalco,Iztacalco,8900,3 Estrellas,19.384429,-99.101077
Hotel Aquario,Poniente 112 100,Panamericana,Gustavo A. Madero,7770,3 Estrellas,19.47678863,-99.14080797
Hotel Aranjuez,Calzada de Tlalpan 413,Álamos,Benito Juárez,3400,3 Estrellas,19.401838,-99.137422
Hotel Arizona,Avenida de la República 20,Tabacalera,Cuauhtémoc,6030,3 Estrellas,19.436307,-99.156831
Hotel Atlampa,Avenida Río Consulado 661,Atlampa,Cuauhtémoc,6450,3 Estrellas,19.462264,-99.159923
Hotel Atlante,Ciencias 91,Escandón I sección,Miguel Hidalgo,11800,3 Estrellas,19.403376,-99.18074
Hotel Avilla Suites,Sombrereros 9,Tabacalera,Cuauhtémoc,6030,3 Estrellas,19.437376,-99.148412
Hotel Azores,República de Brasil 25,Centro (Área 2),Cuauhtémoc,6010,3 Estrellas,19.436566,-99.133684
Hotel Brasilia,Avenida Cien Metros 4823,Panamericana,Gustavo A. Madero,7770,3 Estrellas,19.47562,-99.138786
Hotel Canadá,5 de Mayo 47,Centro (Área 1),Cuauhtémoc,6000,3 Estrellas,19.434097,-99.135803
Hotel Capital O Monarca,Avenida Álvaro Obregón 32 B,Roma Norte,Cuauhtémoc,6700,3 Estrellas,19.418607,-99.156231
Hotel Cartagena,Norte 1 C 4835,Tlacamaca,Gustavo A. Madero,7380,3 Estrellas,19.474628,-99.138234
Hotel Casa Blanca,Coahuila 27,Roma Norte,Cuauhtémoc,6700,3 Estrellas,19.412868,-99.156393
Hotel Castillo,Calzada de Tlalpan 1606,Ermita,Benito Juárez,3590,3 Estrellas,19.359063,-99.14303
Hotel Castropol,Avenida Pino Suárez 58,Centro (Área 9),Cuauhtémoc,6090,3 Estrellas,19.426972,-99.132816
Hotel Catalina,Doctor Lavista 21,Doctores,Cuauhtémoc,6720,3 Estrellas,19.42373,-99.143844
Hotel Cien Metros,Avenida 100 metros 1191,Nueva Industrial Vallejo,Gustavo A. Madero,7700,3 Estrellas,19.512902,-99.153392
Hotel Conde,Pescaditos 15,Centro (Área 7),Cuauhtémoc,6070,3 Estrellas,19.43042,-99.146572
Hotel Corona Real,Avenida Extremadura 192,Insurgentes Mixcoac,Benito Juárez,3920,3 Estrellas,19.375388,-99.186099
Hotel Cozumel,Doctor Barragán 79,Doctores,Cuauhtémoc,6720,3 Estrellas,19.420146,-99.144561
Hotel Cuba,República de Cuba 69,Centro (Área 2),Cuauhtémoc,6010,3 Estrellas,19.437092,-99.136196
Hotel Del Dorado,Avenida Cien Metros 1021,Nueva Industrial Vallejo,Gustavo A. Madero,7700,3 Estrellas,19.512932,-99.153392
Hotel Del Principado,Londres 42,Juárez,Cuauhtémoc,6600,3 Estrellas,19.427347,-99.159791
Hotel Del Rey,Viaducto Miguel Alemán 9,Del Valle Centro,Benito Juárez,3100,3 Estrellas,19.399691,-99.169648
Hotel Del Sur,Calzada Ignacio Zaragoza 1398,Juan Escutia,Iztapalapa,9100,3 Estrellas,19.39605,-99.0539
Hotel Detroit,Zaragoza 55,Guerrero,Cuauhtémoc,6300,3 Estrellas,19.440762,-99.149884
Hotel Diligencias,Belisario Domínguez 6,Centro (Área 1),Cuauhtémoc,6000,3 Estrellas,19.43861,-99.139692
Hotel Dos Naciones,Mina 13,Guerrero,Cuauhtémoc,6300,3 Estrellas,19.439033,-99.141339
Hotel Downtown,Isabel la Católica 30 ,Centro (Área 1),Cuauhtémoc,6000,3 Estrellas,19.432884,-99.13628
Hotel Duque,Avenida Cuatro 38,Valentín Gómez Farías,Venustiano Carranza,15010,3 Estrellas,19.419005,-99.097187
Hotel Eje Villas y Suites,Doctor Roberto Solís Quiroga 213,Buenos Aires,Cuauhtémoc,6780,3 Estrellas,19.404237,-99.146114
Hotel El Castro,Sinaloa 32,Roma Norte,Cuauhtémoc,6700,3 Estrellas,19.421155,-99.164909
Hotel El Greco,Avenida San Antonio 22,Nápoles,Benito Juárez,3810,3 Estrellas,19.385681,-99.175931
Hotel El Pilar,Instituto Técnico Industrial 212,Agricultura,Miguel Hidalgo,11360,3 Estrellas,19.450963,-99.164643
Hotel El Salvador,República de El Salvador 16,Centro (Área 8),Cuauhtémoc,6080,3 Estrellas,19.430475,-99.140571
Hotel El Senador,Doctor Erazo 33,Doctores,Cuauhtémoc,6720,3 Estrellas,19.417991,-99.145385
Hotel Encanto,Fernando Ramírez 162,Obrera,Cuauhtémoc,6800,3 Estrellas,19.412805,-99.135369
Hotel Esla,Avenida Talismán 2933,Tres Estrellas,Gustavo A. Madero,7820,3 Estrellas,19.47507,-99.111073
Hotel Faro,Avenida Alfredo Robles Domínguez 197,Guadalupe Insurgentes,Gustavo A. Madero,7870,3 Estrellas,19.470309,-99.132399
Hotel Fleming,Revillagigedo 35,Centro (Área 5),Cuauhtémoc,6050,3 Estrellas,19.432605,-99.146437
Hotel Geneve,Quetzalcóatl 2,Tlaxpana,Miguel Hidalgo,11370,3 Estrellas,19.443743,-99.166523
Hotel Gin,Río Éufrates 3,Cuauhtémoc,Cuauhtémoc,6500,3 Estrellas,19.433557,-99.166849
Hotel Gracia,Calzada de Tlalpan 1221,San Simón Ticumac,Benito Juárez,3660,3 Estrellas,19.373102,-99.141439
Hotel Héroes,Héroes 207,Guerrero,Cuauhtémoc,6300,3 Estrellas,19.449073,-99.14501
Hotel Hidalgo,Santa Veracruz 37,Guerrero,Cuauhtémoc,6300,3 Estrellas,19.437379,-99.142226
Hotel Hipódromo,Calzada Legaria 185,Torre Blanca,Miguel Hidalgo,11280,3 Estrellas,19.45473,-99.196986
Hotel Huipulco,Huipulco 13,San Lorenzo Huipulco,Tlalpan,14370,3 Estrellas,19.29561,-99.153145
Hotel Irys Aleph,Avenida Insurgentes Centro 96,Tabacalera,Cuauhtémoc,6500,3 Estrellas,19.43522,-99.15748
Hotel Jacarandas,Avenida Río Consulado 7,Atlampa,Cuauhtémoc,6450,3 Estrellas,19.456064,-99.163524
Hotel K 20,Carretera federal a Cuernavaca 6233,San Pedro Mártir,Tlalpan,14650,3 Estrellas,19.265169,-99.171718
Hotel Kali Ciudadela,Revillagigedo 92,Centro (Área 7),Cuauhtémoc,6070,3 Estrellas,19.428413,-99.147058
Hotel La Casa de la Luna,Simón Bolívar 57,Centro (Área 1),Cuauhtémoc,6000,3 Estrellas,19.430325,-99.139072
Hotel La Luna,Calzada de Tlalpan 4383,San Lorenzo Huipulco,Tlalpan,14370,3 Estrellas,19.296961,-99.152805
Hotel La Riviera,Aldama 9,Guerrero,Cuauhtémoc,6300,3 Estrellas,19.439248,-99.151927
Hotel La Rosa,Eligio Ancona 269,Santa María la Ribera,Cuauhtémoc,6400,3 Estrellas,19.453655,-99.162973
Hotel Las Américas,Magnolia 61,Guerrero,Cuauhtémoc,6300,3 Estrellas,19.442662,-99.142795
Hotel Leo,Avenida Insurgentes Sur 4267,La Joya,Tlalpan,14090,3 Estrellas,19.281093,-99.17219
Hotel Lepanto,Guerrero 90,Guerrero,Cuauhtémoc,6300,3 Estrellas,19.442316,-99.148542
Hotel Los Cabos,Coatzacoalcos 6,Ampliación Casas Alemán,Gustavo A. Madero,7580,3 Estrellas,19.475313,-99.088651
Hotel Mallorca,Serapio Rendón 119,San Rafael,Cuauhtémoc,6470,3 Estrellas,19.433877,-99.160689
Hotel Manalba,Antonio Caso 23,Tabacalera,Cuauhtémoc,6030,3 Estrellas,19.43436,-99.155312
Hotel Manolo I,Luis Moya 111,Centro (Área 7),Cuauhtémoc,6070,3 Estrellas,19.428224,-99.1461
Hotel Marlowe,Avenida Independencia 17,Centro (Área 5),Cuauhtémoc,6050,3 Estrellas,19.433211,-99.142426
Hotel Marqués,Cayetano Andrade 51,Santa Martha Acatitla,Iztapalapa,9510,3 Estrellas,19.364044,-99.006401
Hotel Marsella,Peralvillo 107,Morelos,Cuauhtémoc,6200,3 Estrellas,19.450889,-99.131506
Hotel Mexicali,Calzada San Antonio Abad 285,Algarín,Cuauhtémoc,6880,3 Estrellas,19.407425,-99.136261
Hotel Miguel Ángel,Doctor Valenzuela 8,Doctores,Cuauhtémoc,6720,3 Estrellas,19.426362,-99.142988
Hotel Milán,Avenida Álvaro Obregón 94,Roma Norte,Cuauhtémoc,6700,3 Estrellas,19.418107,-99.159029
Hotel Modelo,Avenida Alfredo Robles Domínguez 46,Vallejo,Gustavo A. Madero,7870,3 Estrellas,19.46834,-99.126009
Hotel Monte Casino,Instituto Politécnico Nacional 5104,Capultitlan,Gustavo A. Madero,7370,3 Estrellas,19.479627,-99.135949
Hotel Motel Misión Macen,Prolongación División del Norte 4931,San Lorenzo la Cebada,Xochimilco,16018,3 Estrellas,19.280436,-99.123998
Hotel Museo,Héroes Ferrocarrileros 54,Santa María la Ribera,Cuauhtémoc,6400,3 Estrellas,19.441664,-99.156351
Hotel Mx Congreso,Avenida Ferrocarril Interoceánico 9,Morelos,Venustiano Carranza,15270,3 Estrellas,19.435418,-99.115664
Hotel MX Roma,Mérida 81,Roma Norte,Cuauhtémoc,6700,3 Estrellas,19.420754,-99.15816
Hotel Nevada,Soledad 38,Centro (Área 6),Cuauhtémoc,6060,3 Estrellas,19.432402,-99.127427
Hotel New York,Edison 45,Tabacalera,Cuauhtémoc,6030,3 Estrellas,19.436908,-99.15172
Hotel Normandie,Virginia Fábregas 14,San Rafael,Cuauhtémoc,6470,3 Estrellas,19.442628,-99.16532
Hotel Norte,Zaragoza 155,Guerrero,Cuauhtémoc,6300,3 Estrellas,19.445814,-99.148644
Hotel Nuevo Laredo,Avenida Albeniz 125,Vallejo,Gustavo A. Madero,7870,3 Estrellas,19.468407,-99.140348
Hotel Olimpo,Avenida Noé 90,Guadalupe Tepeyac,Gustavo A. Madero,7840,3 Estrellas,19.466594,-99.119307
Hotel Palace,Ignacio Ramírez 7,Tabacalera,Cuauhtémoc,6030,3 Estrellas,19.434997,-99.154608
Hotel Panorama,Platino 20,Valle Gómez,Cuauhtémoc,6240,3 Estrellas,19.45769,-99.127262
Hotel Parque Vía,Lago Gascasonica 15,Tacuba,Miguel Hidalgo,11410,3 Estrellas,19.460758,-99.18982
Hotel Pigal,Aldama 28,Buenavista,Cuauhtémoc,6350,3 Estrellas,19.439685,-99.151816
Hotel Pisa,Avenida Insurgentes Centro 58,Tabacalera,Cuauhtémoc,6030,3 Estrellas,19.437142,-99.156644
Hotel Playa Internacional,Nezahualcóyotl 52,Centro (Área 8),Cuauhtémoc,6080,3 Estrellas,19.425667,-99.140009
Hotel Plaza Solís,Antonio Solís 101,Obrera,Cuauhtémoc,6800,3 Estrellas,19.409434,-99.139214
Hotel Polanco,Edgar Allan Poe 8,Polanco V sección,Miguel Hidalgo,11560,3 Estrellas,19.428797,-99.200506
