anio,fecha,ambito,gasto,temporal_fecha,..anio_fecha
2018,2018-05-31,Internacional,4397.55424559451,2018-05,2018
2018,2018-06-30,Nacional,3180.1843317168414,2018-06,2018
2018,2018-06-30,Internacional,4288.624463877376,2018-06,2018
2018,2018-07-31,Nacional,3800.2913953254315,2018-07,2018
2018,2018-07-31,Internacional,4610.62108550352,2018-07,2018
2018,2018-08-31,Nacional,3535.1460506296485,2018-08,2018
2018,2018-08-31,Internacional,5813.2324709118,2018-08,2018
2018,2018-09-30,Nacional,3678.2136334543184,2018-09,2018
2018,2018-09-30,Internacional,5298.085035410943,2018-09,2018
2018,2018-10-31,Nacional,3847.1168805980756,2018-10,2018
2018,2018-10-31,Internacional,5995.281077387701,2018-10,2018
2018,2018-11-30,Nacional,4003.4605085793487,2018-11,2018
2018,2018-11-30,Internacional,5370.04323259764,2018-11,2018
2018,2018-12-31,Nacional,3608.3662851661197,2018-12,2018
2018,2018-12-31,Internacional,5410.90088537832,2018-12,2018
2019,2019-01-31,Nacional,2886.23244,2019-01,2019
2019,2019-01-31,Internacional,4842.694806146179,2019-01,2019
2019,2019-02-28,Nacional,3002.1022558985983,2019-02,2019
2019,2019-02-28,Internacional,4951.9729003845105,2019-02,2019
2019,2019-03-31,Nacional,3708.5179762014022,2019-03,2019
2019,2019-03-31,Internacional,5983.56172278291,2019-03,2019
2019,2019-04-30,Nacional,3531.4524255683514,2019-04,2019
2019,2019-04-30,Internacional,5572.675215079991,2019-04,2019
2019,2019-05-31,Nacional,3174.3750301291434,2019-05,2019
2019,2019-05-31,Internacional,5644.970635148067,2019-05,2019
2019,2019-06-30,Nacional,3576.9470001625778,2019-06,2019
2019,2019-06-30,Internacional,5298.470681853301,2019-06,2019
2019,2019-07-31,Nacional,3533.60615618167,2019-07,2019
2019,2019-07-31,Internacional,6215.489752219331,2019-07,2019
2019,2019-08-31,Nacional,3184.2245267856188,2019-08,2019
2019,2019-08-31,Internacional,7474.6302731505,2019-08,2019
2019,2019-09-30,Nacional,3205.147465832815,2019-09,2019
2019,2019-09-30,Internacional,7191.933506524585,2019-09,2019
2019,2019-10-31,Nacional,4069.098698707669,2019-10,2019
2019,2019-10-31,Internacional,7149.9185594172,2019-10,2019
2019,2019-11-30,Nacional,3946.594566277148,2019-11,2019
2019,2019-11-30,Internacional,6862.676286736874,2019-11,2019
2019,2019-12-31,Nacional,3168.315074967858,2019-12,2019
2019,2019-12-31,Internacional,4937.672235822481,2019-12,2019
2020,2020-01-31,Nacional,3054.8231030099996,2020-01,2020
2020,2020-01-31,Internacional,5266.457719568639,2020-01,2020
2020,2020-02-29,Nacional,3319.817366542852,2020-02,2020
2020,2020-02-29,Internacional,5738.853327319108,2020-02,2020
2020,2020-03-31,Nacional,1738.692419987902,2020-03,2020
2020,2020-03-31,Internacional,2984.953635926064,2020-03,2020
2020,2020-04-30,Nacional,182.49830736218988,2020-04,2020
2020,2020-04-30,Internacional,168.80538178904396,2020-04,2020
2020,2020-05-31,Nacional,73.12875866853172,2020-05,2020
2020,2020-05-31,Internacional,115.94783636036998,2020-05,2020
2020,2020-06-30,Nacional,184.41546212421096,2020-06,2020
2020,2020-06-30,Internacional,199.05024270186001,2020-06,2020
2020,2020-07-31,Nacional,556.1931183623996,2020-07,2020
2020,2020-07-31,Internacional,534.568791469669,2020-07,2020
